datetime,DO_mgL,Temp_C,buoy
6/21/22 10:00,8.47,22.76,mid
6/21/22 10:30,8.05,26.06,mid
6/21/22 11:00,7.38,32.12,mid
6/21/22 11:30,6.95,34.4,mid
6/21/22 12:00,11.14,25.32,mid
6/21/22 12:30,11.26,25.16,mid
6/21/22 13:00,11.08,25.28,mid
6/21/22 13:30,11.14,25.4,mid
6/21/22 14:00,10.94,25.5,mid
6/21/22 14:30,10.91,25.6,mid
6/21/22 15:00,11.33,25.86,mid
6/21/22 15:30,11.33,26.04,mid
6/21/22 16:00,11.43,26.16,mid
6/21/22 16:30,11.3,26.16,mid
6/21/22 17:00,11.39,26.26,mid
6/21/22 17:30,11.44,26.28,mid
6/21/22 18:00,11.39,26.16,mid
6/21/22 18:30,11.55,26.08,mid
6/21/22 19:00,11.47,26.04,mid
6/21/22 19:30,11.48,26.06,mid
6/21/22 20:00,11.35,26.1,mid
6/21/22 20:30,11.41,26.14,mid
6/21/22 21:00,11.42,26.16,mid
6/21/22 21:30,11.35,26.14,mid
6/21/22 22:00,11.26,26.1,mid
6/21/22 22:30,11.05,26.06,mid
6/21/22 23:00,10.91,26,mid
6/21/22 23:30,10.81,25.94,mid
6/22/22 0:00,10.69,25.9,mid
6/22/22 0:30,10.59,25.84,mid
6/22/22 1:00,10.48,25.8,mid
6/22/22 1:30,10.41,25.74,mid
6/22/22 2:00,10.32,25.68,mid
6/22/22 2:30,10.21,25.64,mid
6/22/22 3:00,10.17,25.58,mid
6/22/22 3:30,10.06,25.56,mid
6/22/22 4:00,9.91,25.5,mid
6/22/22 4:30,9.75,25.46,mid
6/22/22 5:00,9.61,25.42,mid
6/22/22 5:30,9.54,25.38,mid
6/22/22 6:00,9.53,25.36,mid
6/22/22 6:30,9.44,25.32,mid
6/22/22 7:00,9.56,25.3,mid
6/22/22 7:30,9.66,25.3,mid
6/22/22 8:00,9.74,25.32,mid
6/22/22 8:30,9.94,25.34,mid
6/22/22 9:00,10.14,25.38,mid
6/22/22 9:30,10.25,25.48,mid
6/22/22 10:00,10.34,25.58,mid
6/22/22 10:30,10.5,25.68,mid
6/22/22 11:00,10.58,25.82,mid
6/22/22 11:30,10.75,25.98,mid
6/22/22 12:00,10.87,26.16,mid
6/22/22 12:30,11.1,26.34,mid
6/22/22 13:00,11.28,26.52,mid
6/22/22 13:30,11.43,26.66,mid
6/22/22 14:00,11.62,26.78,mid
6/22/22 14:30,11.77,26.94,mid
6/22/22 15:00,11.91,27.1,mid
6/22/22 15:30,12.09,27.24,mid
6/22/22 16:00,12.19,27.3,mid
6/22/22 16:30,12.44,27.3,mid
6/22/22 17:00,12.53,27.32,mid
6/22/22 17:30,12.68,27.36,mid
6/22/22 18:00,12.79,27.26,mid
6/22/22 18:30,12.91,27.16,mid
6/22/22 19:00,12.97,27.04,mid
6/22/22 19:30,12.8,26.96,mid
6/22/22 20:00,12.56,26.84,mid
6/22/22 20:30,12.36,26.74,mid
6/22/22 21:00,12.31,26.68,mid
6/22/22 21:30,12.23,26.64,mid
6/22/22 22:00,12.22,26.56,mid
6/22/22 22:30,12.15,26.5,mid
6/22/22 23:00,12,26.44,mid
6/22/22 23:30,11.99,26.36,mid
6/23/22 0:00,11.93,26.3,mid
6/23/22 0:30,11.77,26.26,mid
6/23/22 1:00,11.71,26.2,mid
6/23/22 1:30,11.79,26.14,mid
6/23/22 2:00,11.7,26.08,mid
6/23/22 2:30,11.64,26.04,mid
6/23/22 3:00,11.61,25.98,mid
6/23/22 3:30,11.63,25.92,mid
6/23/22 4:00,11.63,25.86,mid
6/23/22 4:30,11.62,25.82,mid
6/23/22 5:00,11.58,25.74,mid
6/23/22 5:30,11.51,25.7,mid
6/23/22 6:00,11.52,25.66,mid
6/23/22 6:30,11.45,25.62,mid
6/23/22 7:00,11.36,25.62,mid
6/23/22 7:30,11.17,25.66,mid
6/23/22 8:00,11.2,25.7,mid
6/23/22 8:30,11.5,25.8,mid
6/23/22 9:00,11.7,25.86,mid
6/23/22 9:30,11.61,25.94,mid
6/23/22 10:00,11.69,26.08,mid
6/23/22 10:30,11.95,26.24,mid
6/23/22 11:00,11.96,26.38,mid
6/23/22 11:30,12.3,26.64,mid
6/23/22 12:00,11.51,27.24,mid
6/23/22 12:30,11.31,27.48,mid
6/23/22 13:00,11.19,27.74,mid
6/23/22 13:30,11.19,28,mid
6/23/22 14:00,11.36,28.16,mid
6/23/22 14:30,11.75,28.18,mid
6/23/22 15:00,11.61,28.22,mid
6/23/22 15:30,11.81,28.28,mid
6/23/22 16:00,11.88,28.26,mid
6/23/22 16:30,11.35,28.18,mid
6/23/22 17:00,12.41,27.98,mid
6/23/22 17:30,13.03,27.62,mid
6/23/22 18:00,12.92,27.38,mid
6/23/22 18:30,12.96,27.18,mid
6/23/22 19:00,13.45,27.08,mid
6/23/22 19:30,13.92,26.96,mid
6/23/22 20:00,13.77,26.86,mid
6/23/22 20:30,13.64,26.78,mid
6/23/22 21:00,13.64,26.72,mid
6/23/22 21:30,13.24,26.7,mid
6/23/22 22:00,13.13,26.76,mid
6/23/22 22:30,12.94,26.8,mid
6/23/22 23:00,12.88,26.84,mid
6/23/22 23:30,13.32,26.8,mid
6/24/22 0:00,13.22,26.7,mid
6/24/22 0:30,12.91,26.68,mid
6/24/22 1:00,12.68,26.66,mid
6/24/22 1:30,12.57,26.6,mid
6/24/22 2:00,12.46,26.56,mid
6/24/22 2:30,12.28,26.52,mid
6/24/22 3:00,12.27,26.46,mid
6/24/22 3:30,12.2,26.42,mid
6/24/22 4:00,12.16,26.4,mid
6/24/22 4:30,12.11,26.36,mid
6/24/22 5:00,11.9,26.3,mid
6/24/22 5:30,11.85,26.26,mid
6/24/22 6:00,11.78,26.2,mid
6/24/22 6:30,11.67,26.2,mid
6/24/22 7:00,11.64,26.22,mid
6/24/22 7:30,11.58,26.26,mid
6/24/22 8:00,11.76,26.26,mid
6/24/22 8:30,11.79,26.36,mid
6/24/22 9:00,11.86,26.4,mid
6/24/22 9:30,12.02,26.52,mid
6/24/22 10:00,12.02,26.56,mid
6/24/22 10:30,12.54,26.62,mid
6/24/22 11:00,12.61,26.7,mid
6/24/22 11:30,12.65,26.68,mid
6/24/22 12:00,12.64,26.64,mid
6/24/22 12:30,12.87,26.64,mid
6/24/22 13:00,12.92,26.8,mid
6/24/22 13:30,12.59,26.86,mid
6/24/22 14:00,13.28,27.04,mid
6/24/22 14:30,13.23,27.3,mid
6/24/22 15:00,12.77,27.28,mid
6/24/22 15:30,13.25,27.6,mid
6/24/22 16:00,13.63,27.74,mid
6/24/22 16:30,13.36,27.7,mid
6/24/22 17:00,13.28,27.68,mid
6/24/22 17:30,13.58,27.76,mid
6/24/22 18:00,14.32,27.74,mid
6/24/22 18:30,14.09,27.7,mid
6/24/22 19:00,14.34,27.64,mid
6/24/22 19:30,14.03,27.54,mid
6/24/22 20:00,13.75,27.48,mid
6/24/22 20:30,13.75,27.38,mid
6/24/22 21:00,12.53,27.38,mid
6/24/22 21:30,12.57,27.42,mid
6/24/22 22:00,12.38,27.46,mid
6/24/22 22:30,12.25,27.46,mid
6/24/22 23:00,12.03,27.44,mid
6/24/22 23:30,11.91,27.42,mid
6/25/22 0:00,11.7,27.4,mid
6/25/22 0:30,11.63,27.38,mid
6/25/22 1:00,11.49,27.34,mid
6/25/22 1:30,6.07,27.28,mid
6/25/22 2:00,9.91,27.22,mid
6/25/22 2:30,10.72,27.16,mid
6/25/22 3:00,10.83,27.1,mid
6/25/22 3:30,10.94,27.06,mid
6/25/22 4:00,10.91,27.02,mid
6/25/22 4:30,10.88,26.98,mid
6/25/22 5:00,10.69,26.94,mid
6/25/22 5:30,10.32,26.9,mid
6/25/22 6:00,10.81,26.86,mid
6/25/22 6:30,10.91,26.82,mid
6/25/22 7:00,10.82,26.74,mid
6/25/22 7:30,10.64,26.7,mid
6/25/22 8:00,10.48,26.64,mid
6/25/22 8:30,10.25,26.6,mid
6/25/22 9:00,10.17,26.52,mid
6/25/22 9:30,10.1,26.48,mid
6/25/22 10:00,10.41,26.46,mid
6/25/22 10:30,10.37,26.42,mid
6/25/22 11:00,10.31,26.38,mid
6/25/22 11:30,10.43,26.34,mid
6/25/22 12:00,10.43,26.28,mid
6/25/22 12:30,10.37,26.24,mid
6/25/22 13:00,10.23,26.22,mid
6/25/22 13:30,10.16,26.16,mid
6/25/22 14:00,10.12,26.16,mid
6/25/22 14:30,10.06,26.16,mid
6/25/22 15:00,10.03,26.14,mid
6/25/22 15:30,10,26.14,mid
6/25/22 16:00,10.21,26.12,mid
6/25/22 16:30,10.41,26.1,mid
6/25/22 17:00,10.22,26.08,mid
6/25/22 17:30,10.34,26.08,mid
6/25/22 18:00,10.19,26.08,mid
6/25/22 18:30,10.14,26.06,mid
6/25/22 19:00,9.92,26.04,mid
6/25/22 19:30,10.42,26.02,mid
6/25/22 20:00,10.29,26,mid
6/25/22 20:30,10.22,25.98,mid
6/25/22 21:00,10.06,25.96,mid
6/25/22 21:30,9.87,25.94,mid
6/25/22 22:00,9.99,25.9,mid
6/25/22 22:30,9.75,25.88,mid
6/25/22 23:00,9.63,25.86,mid
6/25/22 23:30,9.4,25.82,mid
6/26/22 0:00,9.38,25.8,mid
6/26/22 0:30,9.1,25.76,mid
6/26/22 1:00,9.18,25.72,mid
6/26/22 1:30,9.07,25.68,mid
6/26/22 2:00,9.07,25.66,mid
6/26/22 2:30,9.02,25.64,mid
6/26/22 3:00,8.55,25.6,mid
6/26/22 3:30,8.74,25.54,mid
6/26/22 4:00,8.67,25.48,mid
6/26/22 4:30,8.51,25.42,mid
6/26/22 5:00,7.95,25.38,mid
6/26/22 5:30,7.99,25.28,mid
6/26/22 6:00,7.72,25.2,mid
